intention_id,cu_id
int_80289e3d95d0,cu_sol1_1_b06331cb0a62
int_321c8b937201,cu_bed2_1_3f798a5d1bd8
int_43c85b98d553,cu_bed2_1_3f798a5d1bd8
int_670d4ecacd05,cu_bed2_1_3f798a5d1bd8
int_30709ddb2b60,cu_bed2_1_3f798a5d1bd8
int_301d29660bb6,cu_bed2_1_3f798a5d1bd8
int_2fce16003b31,cu_bed2_1_3f798a5d1bd8
int_b54f0c4eb8ed,cu_bed2_1_3f798a5d1bd8
int_a625882ebba4,cu_bed2_1_3f798a5d1bd8
int_bee1e4a6eab1,cu_bed2_1_3f798a5d1bd8
int_7fc470490a32,cu_bed2_1_3f798a5d1bd8
int_7b9a5440ac3b,cu_bed2_1_3f798a5d1bd8
int_137ac1d1cbca,cu_bed2_1_3f798a5d1bd8
int_69065280c30b,cu_bed2_1_3f798a5d1bd8
int_b812780c4c58,cu_bed2_1_3f798a5d1bd8
int_76de9c6dde16,cu_bed2_1_3f798a5d1bd8
int_a637ae661f73,cu_met3_1_3048fea3c8e1
int_8a3e23c087d3,cu_met3_1_3048fea3c8e1
int_76f69e8d6c16,cu_met3_1_3048fea3c8e1
int_d910e0731f75,cu_met3_1_3048fea3c8e1
int_73bc06318eea,cu_met3_1_3048fea3c8e1
int_b12a5394d29a,cu_met3_1_3048fea3c8e1
int_7380f56c5cf5,cu_met3_1_3048fea3c8e1
int_22848055c5d2,cu_met3_1_3048fea3c8e1
int_07b6ddaf2e12,cu_met3_1_3048fea3c8e1
int_3bcdf8391021,cu_met3_1_3048fea3c8e1
int_9d7fd437761a,cu_met3_1_3048fea3c8e1
int_6045cd24dfe3,cu_met3_1_3048fea3c8e1
int_e4867f30ee21,cu_sol2_1_54fc06d1d870
int_adcc54608283,cu_sol2_1_54fc06d1d870
int_e133702e3957,cu_sol2_1_54fc06d1d870
int_20162f4ae4f6,cu_sol2_1_54fc06d1d870
int_3c133952772c,cu_sol2_1_54fc06d1d870
int_b1613ee3a891,cu_sol2_1_54fc06d1d870
int_fe1c4527452c,cu_sol2_1_54fc06d1d870
int_dd4e7b8ee279,cu_sol2_1_54fc06d1d870
int_81407d5ce174,cu_sol2_1_54fc06d1d870
int_9e692a7ea1fe,cu_sol2_1_54fc06d1d870
int_f28707031549,cu_sol2_1_54fc06d1d870
int_851e7cef9ef4,cu_sol2_1_54fc06d1d870
int_da4de61c8bfe,cu_sol2_1_54fc06d1d870
int_d780b2c126be,cu_sol2_1_54fc06d1d870
int_b7969ec4fa26,cu_bed3_1_b43a5275f00c
int_fa073c778cf4,cu_bed3_1_b43a5275f00c
int_732cc97b4f1e,cu_bed3_1_b43a5275f00c
int_192f1f12e3e1,cu_bed3_1_b43a5275f00c
int_9f932e4aea79,cu_bed3_1_b43a5275f00c
int_f2171f16c010,cu_bed3_1_b43a5275f00c
int_3492ac021694,cu_bed3_1_b43a5275f00c
int_7890c1822446,cu_bed3_1_b43a5275f00c
int_b1c1ade902a0,cu_bed3_1_b43a5275f00c
int_12759d3bc8c8,cu_bed3_1_b43a5275f00c
int_4e1171d28593,cu_bed3_1_b43a5275f00c
int_49669a4547df,cu_bed3_1_b43a5275f00c
int_9fed849a7fd0,cu_bed3_1_b43a5275f00c
int_f586dbb5caa8,cu_bed3_1_b43a5275f00c
int_78aa18109a23,cu_bed3_1_b43a5275f00c
int_bc0f21737f5d,cu_bed3_1_b43a5275f00c
int_8e73c8479b23,cu_bed3_1_b43a5275f00c
int_640404f01216,cu_bed3_1_b43a5275f00c
int_71d47fce76e5,cu_met4_1_0d92e845d74b
int_aa76a0ffcfc0,cu_met4_1_0d92e845d74b
int_014b64678baa,cu_met4_1_0d92e845d74b
int_810eb4f42ea1,cu_met4_1_0d92e845d74b
int_6ef0cb48da90,cu_met4_1_0d92e845d74b
int_9cfd420f9005,cu_met4_1_0d92e845d74b
int_ac147a7885e6,cu_met4_1_0d92e845d74b
int_36070b5acc73,cu_met4_1_0d92e845d74b
int_83d7ae57201b,cu_met4_1_0d92e845d74b
int_05d3977defb3,cu_met4_1_0d92e845d74b
int_6eee93f8597e,cu_met4_1_0d92e845d74b
int_8bab750f1065,cu_met4_1_0d92e845d74b
int_67396fcfdd45,cu_met4_1_0d92e845d74b
int_5115db33bc52,cu_met4_1_0d92e845d74b
int_fe717e9d54dc,cu_sam3_1_1824ef1ee91d
int_196f8ec45343,cu_sam3_1_1824ef1ee91d
int_2e32829f79fd,cu_sam3_1_1824ef1ee91d
int_0bb9cbe20ab0,cu_sam3_1_1824ef1ee91d
int_233f515ef88e,cu_sam3_1_1824ef1ee91d
int_cc114bdd1fa5,cu_sam3_1_1824ef1ee91d
int_cd452268bd1d,cu_sam3_1_1824ef1ee91d
int_f6ff6043b04c,cu_sam3_1_1824ef1ee91d
int_c1a87b5c38ba,cu_sam3_1_1824ef1ee91d
int_013fe310533c,cu_sam3_1_1824ef1ee91d
int_9ac4528aca59,cu_sam3_1_1824ef1ee91d
int_ea8669b29a2b,cu_sam3_1_1824ef1ee91d
int_1ffb95f24f2a,cu_bed4_1_370177fb81b0
int_26b866625279,cu_bed4_1_370177fb81b0
int_601e2151e631,cu_bed4_1_370177fb81b0
int_19deb6751112,cu_bed4_1_370177fb81b0
int_66a4335eda9d,cu_bed4_1_370177fb81b0
int_e0f077f91312,cu_bed4_1_370177fb81b0
int_4997ac172de8,cu_bed4_1_370177fb81b0
int_77a7ab26457f,cu_bed4_1_370177fb81b0
int_a0339b1ae7cf,cu_bed4_1_370177fb81b0
int_9db5130862c8,cu_bed4_1_370177fb81b0
int_150c01ad3d11,cu_bed4_1_370177fb81b0
int_5aa451efd080,cu_bed4_1_370177fb81b0
int_207a4f991a2f,cu_bed4_1_370177fb81b0
int_29b9bec93ab4,cu_bed4_1_370177fb81b0
int_93f9ede9eecd,cu_bed4_1_370177fb81b0
int_ac449b466bd6,cu_bed4_1_370177fb81b0
int_c9d8d88faeaa,cu_sam4_1_e91233bf1f18
int_b27e65f13046,cu_sam4_1_e91233bf1f18
int_5f49e8b345d0,cu_sam4_1_e91233bf1f18
int_d22b73ad12d1,cu_sam4_1_e91233bf1f18
int_38e13a5a224b,cu_sam4_1_e91233bf1f18
int_1cce40cdb801,cu_sam4_1_e91233bf1f18
int_859da421a3a1,cu_sam4_1_e91233bf1f18
int_c09764562a0a,cu_sam4_1_e91233bf1f18
int_8051222cd53a,cu_sam4_1_e91233bf1f18
int_4885dbc8e4e6,cu_sam4_1_e91233bf1f18
int_af2919ff958b,cu_sam4_1_e91233bf1f18
int_4f31b38a62b8,cu_sam4_1_e91233bf1f18
int_6dad39b2533d,cu_sam4_1_e91233bf1f18
int_ff9ab7b64092,cu_sam4_1_e91233bf1f18
int_a3d7494e6204,cu_sam4a_1_ad8a770b3934
int_0ae5625db2d4,cu_sam4a_1_ad8a770b3934
int_9dda74e5e8a3,cu_sam4a_1_ad8a770b3934
int_dfb466033ca1,cu_sam4a_1_ad8a770b3934
int_4abc984959b5,cu_sam4a_1_ad8a770b3934
int_eaaccd3df241,cu_sam4a_1_ad8a770b3934
int_89d260547b9c,cu_sam4a_1_ad8a770b3934
int_6303e510f935,cu_sam4a_1_ad8a770b3934
int_6a00d6fd845d,cu_sam4a_1_ad8a770b3934
int_048510755c0c,cu_sam4a_1_ad8a770b3934
int_b06cd5489130,cu_sam4a_1_ad8a770b3934
int_2154a6887dcc,cu_sam4a_1_ad8a770b3934
int_aa87a9534a16,cu_sam4a_1_ad8a770b3934
int_5078434c4b57,cu_sam4a_1_ad8a770b3934
int_2b864c6b64e5,cu_sam4a_1_ad8a770b3934
int_660cdf3b9bf7,cu_sam4a_1_ad8a770b3934
int_d3715a025515,cu_sol3_1_eca5e036c695
int_ca66ee66354f,cu_sol3_1_eca5e036c695
int_d0ddd0d92dd7,cu_sol3_1_eca5e036c695
int_57a02841e7c6,cu_sol3_1_eca5e036c695
int_1a92c980b961,cu_sol3_1_eca5e036c695
int_cf8496aff944,cu_sol3_1_eca5e036c695
int_6c6ecc59f0dd,cu_sol3_1_eca5e036c695
int_b6f27063a1ca,cu_sol3_1_eca5e036c695
int_81a58b42c0f9,cu_sol3_1_eca5e036c695
int_f4932b860ffb,cu_sol3_1_eca5e036c695
int_84f3acf65760,cu_sol3_1_eca5e036c695
int_0f2c6861adff,cu_sol3_1_eca5e036c695
int_9568a7cc1226,cu_sol3_1_eca5e036c695
int_d0e9062bc090,cu_bed5_1_f1ed3d8af13a
int_dd7c511ce1d2,cu_bed5_1_f1ed3d8af13a
int_79720ce2429d,cu_bed5_1_f1ed3d8af13a
int_18e9bf6aff65,cu_bed5_1_f1ed3d8af13a
int_0c10d480955e,cu_bed5_1_f1ed3d8af13a
int_12cb9098161b,cu_bed5_1_f1ed3d8af13a
int_0d3db5a3f136,cu_bed5_1_f1ed3d8af13a
int_86b115e9a537,cu_bed5_1_f1ed3d8af13a
int_6b5d9ea00689,cu_bed5_1_f1ed3d8af13a
int_0ef9c8350631,cu_bed5_1_f1ed3d8af13a
int_af907b3d88c8,cu_bed5_1_f1ed3d8af13a
int_9b236ab33860,cu_bed5_1_f1ed3d8af13a
int_42c53dd37023,cu_bed5_1_f1ed3d8af13a
int_891ccea9c374,cu_bed5_1_f1ed3d8af13a
int_089a0fed744d,cu_sol4_1_53d58f58ab69
int_9bca9e4335a9,cu_sol4_1_53d58f58ab69
int_43f1239ac46a,cu_sol4_1_53d58f58ab69
int_a930b89a755e,cu_sol4_1_53d58f58ab69
int_dc84c17fb8e2,cu_sol4_1_53d58f58ab69
int_8bf58345db56,cu_sol4_1_53d58f58ab69
int_0bd3387ac6a1,cu_sol4_1_53d58f58ab69
int_96e5ee659bea,cu_sol4_1_53d58f58ab69
int_e7ff68131049,cu_sol4_1_53d58f58ab69
int_3b3bfaac866b,cu_sol4_1_53d58f58ab69
int_792b79b460d9,cu_sol4_1_53d58f58ab69
int_9c5d8499f11e,cu_for21_1_f328c31096ad
int_9ff80f3cc28a,cu_for21_1_f328c31096ad
int_0bb7ae139ba9,cu_for21_1_f328c31096ad
int_4378feafd6d3,cu_for21_1_f328c31096ad
int_5445c72b48f2,cu_for21_1_f328c31096ad
int_06e50b4e16b2,cu_for21_1_f328c31096ad
int_fe40ad3d9e0c,cu_for21_1_f328c31096ad
int_b207a3d5ae61,cu_for21_1_f328c31096ad
int_9a0de2518c3a,cu_sam13_1_aad24e431af3
int_be9156a08eb2,cu_sam13_1_aad24e431af3
int_3fbd89bd2bee,cu_sam13_1_aad24e431af3
int_dc140113185f,cu_sam13_1_aad24e431af3
int_4455dc902610,cu_sam13_1_aad24e431af3
int_a82f3c5e9267,cu_sam13_1_aad24e431af3
int_ac12e6ed60c0,cu_sam13_1_aad24e431af3
int_68acaf723615,cu_sam13_1_aad24e431af3
int_8726f8faa6ba,cu_sam13_1_aad24e431af3
int_b977c66aff30,cu_sam13_1_aad24e431af3
int_03ea094aef91,cu_sam13_1_aad24e431af3
int_430a0e020e82,cu_sam13_1_aad24e431af3
int_514fbdbc71f1,cu_sam13_1_aad24e431af3
int_5a498b7a40ac,cu_sam13_1_aad24e431af3
int_5048dd93fde0,cu_sam13_1_aad24e431af3
int_b31fd62064f7,cu_sam13_1_aad24e431af3
int_b5be5e59f855,cu_sam13_1_aad24e431af3
int_a35d672762b3,cu_sam13_1_aad24e431af3
int_a4fa9feefb36,cu_sam13_1_aad24e431af3
int_6c0900248bfb,cu_sam24_1_ebe0e50a6b16
int_e5dcd225379e,cu_sam24_1_ebe0e50a6b16
int_a024b10caf1c,cu_sam24_1_ebe0e50a6b16
int_bf0d39ef8de2,cu_sam24_1_ebe0e50a6b16
int_9cd238c8f475,cu_sam24_1_ebe0e50a6b16
int_3e93f15b5647,cu_sam24_1_ebe0e50a6b16
int_373701229035,cu_sol17_1_b17d2500ee97
int_a928edba8f6d,cu_sol17_1_b17d2500ee97
int_db1f930979b3,cu_sol17_1_b17d2500ee97
int_5d816e5f6672,cu_sol17_1_b17d2500ee97
int_73d56d2d5d9e,cu_sol17_1_b17d2500ee97
int_f3b5121f04b9,cu_sol17_1_b17d2500ee97
int_aa02485e4a42,cu_sol17_1_b17d2500ee97
int_34108ab68324,cu_sol17_1_b17d2500ee97
int_5f330aed4cd7,cu_sol17_1_b17d2500ee97
int_70093e4c094a,cu_sol17_1_b17d2500ee97
int_b0cff9e6a65c,cu_sol17_1_b17d2500ee97
int_379bfa28b555,cu_rrr11_1_220b0280d83f
int_604266ee2e93,cu_ret11_1_1682e42e1ccd
int_116356d2500e,cu_ret11_1_1682e42e1ccd
int_47a6d3514e5a,cu_ret11_1_1682e42e1ccd
int_d0e66d8c9d47,cu_ret11_1_1682e42e1ccd
int_21a2699949cd,cu_ret11_1_1682e42e1ccd
int_47a2b3e346c0,cu_ret11_1_1682e42e1ccd
int_563f46814cd1,cu_ret11_1_1682e42e1ccd
int_dfc0380c80ef,cu_ret11_1_1682e42e1ccd
int_0406a1be6230,cu_ret11_1_1682e42e1ccd
int_79feeb44bfdf,cu_ret14_1_e8ef0bfe7838
int_6b4a85acd0c5,cu_ret14_1_e8ef0bfe7838
int_d7f4df0bd8c2,cu_ret14_1_e8ef0bfe7838
int_bb359c6298cf,cu_ret14_1_e8ef0bfe7838
int_184a4b97d01a,cu_ret14_1_e8ef0bfe7838
int_051cfdb3627b,cu_ret14_1_e8ef0bfe7838
int_dfeb2c43bb98,cu_ret14_1_e8ef0bfe7838
int_4a2b105cf029,cu_ret14_1_e8ef0bfe7838
int_ac5c3c72be8f,cu_ret14_1_e8ef0bfe7838
int_17901c163d6a,cu_mat11_1_b8c477be8a5e
int_3f63044c8166,cu_mat11_1_b8c477be8a5e
int_90836211c7c6,cu_mat11_1_b8c477be8a5e
int_14fce2519ca0,cu_mat11_1_b8c477be8a5e
int_01d583a7e83f,cu_mat11_1_b8c477be8a5e
int_26dbb60511ac,cu_mat11_1_b8c477be8a5e
int_2d1c195c1c99,cu_mat11_1_b8c477be8a5e
int_035665e39fb6,cu_mat11_1_b8c477be8a5e
int_d489193f8e7a,cu_mat11_1_b8c477be8a5e
int_a3073e5f8101,cu_mat11_1_b8c477be8a5e
int_7135abd6125f,cu_mat12_1_b8009f060cde
