id,level,title,type,code,ects,semester,language
cu_ret11_1_1682e42e1ccd,1,Juss for næringsdrivende,Course,RET11,7.5,spring,Norsk
cu_ret14_1_e8ef0bfe7838,1,Skatterett,Course,RET14,7.5,spring,Norsk
cu_rrr13_1_d47b6ecc65eb,1,"Business ethics, social responsibility, and sustainability",Course,RRR13,7.5,,English
cu_rrr14_1_2168259382f6,1,Introduction to Sustainable Business,Course,RRR14,7.5,,English.
cu_mat11_1_b8c477be8a5e,1,Differens- og differensiallikninger,Course,MAT11,7.5,autumn,Norsk
cu_mat12_1_b8009f060cde,1,Sannsynlighet og data science,Course,MAT12,7.5,autumn,Norsk
cu_mat10_1_863388852cd1,1,Analyse og lineær algebra,Course,MAT10,7.5,spring,Norsk
cu_mat14_1_2e7d4ea8fcee,1,Mathematical Finance,Course,MAT14,7.5,spring,English
cu_mat16_1_91455caf8f3e,1,Computational Finance with Python,Course,MAT16,7.5,spring,English
cu_mat13_1_7fed6a0ee315,1,Optimering,Course,MAT13,7.5,,Norsk
cu_mat15_1_73e69417cdfa,1,Risiko og forsikring,Course,MAT15,7.5,,Norsk
cu_eng11_1_ade28ff5b00b,1,English for leadership communication (C1),Course,ENG11,7.5,autumn,"The course is taught in English, but with a considerable component of Norwegian terminology. Competence in Norwegian or another Scandinavian language is therefore recommended for taking the course."
cu_fsk20_1_05897c2b4745,1,Working successfully across cultures,Course,FSK20,7.5,autumn,English
cu_eng10_1_9d2b96c6af99,1,English for Business Communication (C1),Course,ENG10,7.5,spring,Engelsk
cu_fra21_1_c20bcf3f32ec,1,Fransk for næringslivet (A0-A2),Course,FRA21,7.5,spring,Fransk/norsk.
cu_fra22_1_4e35d2063aa3,1,Fransk for næringslivet II (B1),Course,FRA22,7.5,autumn,"Fransk/norsk. Høsten 2025 endres undervisningsspråket til fransk/engelsk (Starting Autumn 2025, the teaching language will switch to French/English)."
cu_jap10_1_b350888ffa2d,1,Japansk (A1),Course,JAP10,7.5,spring,"Undervisningsspråket er primært norsk og japansk, men engelsk vil bli brukt når det er nødvendig."
cu_jap11_1_b77cf2a7078e,1,Japansk (A2),Course,JAP11,7.5,autumn,"Norsk og japansk. Høsten 2025 endres undervisningsspråket til engelsk og japansk (Starting Autumn 2025, the teaching language will switch to English and Japanese)."
cu_jap12_1_3b08d04b08e8,1,Japansk 3 (tilbys ikke),Course,JAP12,7.5,,Norsk og japansk (kan undervises på engelsk om nødvendig)
cu_spa20_1_bb005c2998d4,1,"Den spansktalende verden i dag: økonomi, samfunn og kultur (B2)",Course,SPA20,7.5,autumn,"Norsk og spansk. Høsten 2025 endres undervisningsspråket til engelsk og spansk (Starting Autumn 2025, the teaching language will switch to English and Spanish)."
cu_spa10_1_20f0dae77f61,1,Spansk språk (B1),Course,SPA10,7.5,spring,"Norsk og spansk, men engelsk ved behov."
cu_spa13_1_47dcd5c53285,1,Economía y sociedad en el mundo hispanohablante (B2+),Course,SPA13,7.5,spring,Spansk
cu_tys11_1_d001aa4630e2,1,Tysk for næringslivet II (B2),Course,TYS11,7.5,autumn,"Tysk og norsk. Høsten 2025 endres undervisningsspråket til engelsk og tysk (Starting Autumn 2025, the teaching language will switch to English and German)."
cu_tys10_1_f4a33a4ab9cf,1,Tysk for næringslivet (B1),Course,TYS10,7.5,spring,Tysk.
cu_int111_1_072ee8258ee1,1,Praksissemester Sør-Afrika,Course,INT111,30.0,spring,engelsk/norsk
cu_intern_a_b_1_75b05021198f,1,Internship abroad Bachelor,Course,INTERN-A-B,7.5,spring/autumn,Norsk
